rank,city,state,population,2000-2013 growth
328,Allen,TX,92020,104.0%
329,Rio Rancho,NM,91956,74.4%
330,Yuma,AZ,91923,16.2%
331,Westminster,CA,91739,3.9%
332,Orem,UT,91648,8.5%
333,Lynn,MA,91589,2.6%
334,Redding,CA,91119,11.9%
335,Spokane Valley,WA,91113,12.6%
336,Miami Beach,FL,91026,3.3%
337,League City,TX,90983,98.3%
338,Lawrence,KS,90811,12.7%
339,Santa Barbara,CA,90412,0.9%
340,Plantation,FL,90268,8.6%
341,Sandy,UT,90231,1.3%
342,Sunrise,FL,90116,4.6%
343,Macon,GA,89981,-7.3%
344,Longmont,CO,89919,24.4%
345,Boca Raton,FL,89407,7.5%
346,San Marcos,CA,89387,60.0%
347,Greenville,NC,89130,41.9%
348,Waukegan,IL,88826,0.5%
349,Fall River,MA,88697,-3.7%
350,Chico,CA,88077,14.2%
351,Newton,MA,87971,4.9%
352,San Leandro,CA,87965,10.3%
353,Reading,PA,87893,8.0%
354,Norwalk,CT,87776,5.6%
355,Fort Smith,AR,87650,8.6%
356,Newport Beach,CA,87273,10.4%
357,Asheville,NC,87236,19.6%
358,Nashua,NH,87137,0.4%
359,Edmond,OK,87004,26.9%
360,Whittier,CA,86635,3.3%
361,Nampa,ID,86518,57.9%
362,Bloomington,MN,86319,1.3%
363,Deltona,FL,86290,23.1%
364,Hawthorne,CA,86199,2.3%
365,Duluth,MN,86128,-0.1%
366,Carmel,IN,85927,60.4%
367,Suffolk,VA,85728,33.5%
368,Clifton,NJ,85390,7.9%
369,Citrus Heights,CA,85285,-0.1%
370,Livermore,CA,85156,15.1%
371,Tracy,CA,84691,45.9%
372,Alhambra,CA,84577,-0.7%
373,Kirkland,WA,84430,87.5%
374,Trenton,NJ,84349,-1.2%
375,Ogden,UT,84249,8.6%
376,Hoover,AL,84126,32.7%
377,Cicero,IL,84103,-1.6%
378,Fishers,IN,83891,114.8%
379,Sugar Land,TX,83860,29.1%
380,Danbury,CT,83684,11.4%
381,Meridian,ID,83596,127.6%
382,Indio,CA,83539,66.0%
383,Concord,NC,83506,47.4%
384,Menifee,CA,83447,95.0%
385,Champaign,IL,83424,18.3%
386,Buena Park,CA,82882,6.1%
387,Troy,MI,82821,2.2%
388,O'Fallon,MO,82809,62.6%
389,Johns Creek,GA,82788,36.5%
390,Bellingham,WA,82631,21.8%
391,Westland,MI,82578,-4.7%
392,Bloomington,IN,82575,16.1%
393,Sioux City,IA,82459,-2.9%
394,Warwick,RI,81971,-4.6%
395,Hemet,CA,81750,37.6%
396,Longview,TX,81443,11.6%
397,Farmington Hills,MI,81295,-0.9%
398,Bend,OR,81236,54.3%
399,Lakewood,CA,81121,2.1%
400,Merced,CA,81102,25.4%
401,Mission,TX,81050,74.5%
402,Chino,CA,80988,15.6%
403,Redwood City,CA,80872,7.1%
404,Edinburg,TX,80836,65.1%
405,Cranston,RI,80566,1.4%
406,Parma,OH,80429,-5.9%
407,New Rochelle,NY,79446,9.9%
408,Lake Forest,CA,79312,4.2%
409,Napa,CA,79068,8.4%
410,Hammond,IN,78967,-4.6%
411,Fayetteville,AR,78960,32.9%
412,Bloomington,IL,78902,20.1%
413,Avondale,AZ,78822,111.5%
414,Somerville,MA,78804,1.6%
415,Palm Coast,FL,78740,137.2%
416,Bryan,TX,78709,19.3%
417,Gary,IN,78450,-23.4%
418,Largo,FL,78409,5.1%
419,Brooklyn Park,MN,78373,16.0%
420,Tustin,CA,78327,15.6%
421,Racine,WI,78199,-4.4%
422,Deerfield Beach,FL,78041,4.8%
423,Lynchburg,VA,78014,19.5%
424,Mountain View,CA,77846,10.1%
425,Medford,OR,77677,17.1%
426,Lawrence,MA,77657,7.5%
427,Bellflower,CA,77593,6.3%
428,Melbourne,FL,77508,5.9%
429,St. Joseph,MO,77147,4.1%
430,Camden,NJ,76903,-3.6%
431,St. George,UT,76817,53.1%
432,Kennewick,WA,76762,29.1%
433,Baldwin Park,CA,76635,0.8%
434,Chino Hills,CA,76572,13.6%
435,Alameda,CA,76419,5.4%
436,Albany,GA,76185,-0.6%
437,Arlington Heights,IL,75994,-0.6%
438,Scranton,PA,75806,0.0%
439,Evanston,IL,75570,1.9%
440,Kalamazoo,MI,75548,-1.9%
441,Baytown,TX,75418,13.1%
442,Upland,CA,75413,9.5%
443,Springdale,AR,75229,57.1%
444,Bethlehem,PA,75018,5.2%
445,Schaumburg,IL,74907,-0.5%
446,Mount Pleasant,SC,74885,53.2%
447,Auburn,WA,74860,34.9%
448,Decatur,IL,74710,-8.7%
449,San Ramon,CA,74513,65.8%
450,Pleasanton,CA,74110,15.2%
451,Wyoming,MI,74100,6.5%
452,Lake Charles,LA,74024,3.0%
453,Plymouth,MN,73987,12.0%
454,Bolingbrook,IL,73936,29.7%
455,Pharr,TX,73790,55.7%
456,Appleton,WI,73596,4.5%
457,Gastonia,NC,73209,8.2%
458,Folsom,CA,73098,38.6%
459,Southfield,MI,73006,-6.7%
460,Rochester Hills,MI,72952,5.7%
461,New Britain,CT,72939,1.9%
462,Goodyear,AZ,72864,271.0%
463,Canton,OH,72535,-10.3%
464,Warner Robins,GA,72531,45.7%
465,Union City,CA,72528,7.4%
466,Perris,CA,72326,98.7%
467,Manteca,CA,71948,42.7%
468,Iowa City,IA,71591,13.8%
469,Jonesboro,AR,71551,28.3%
470,Wilmington,DE,71525,-1.6%
471,Lynwood,CA,71371,2.0%
472,Loveland,CO,71334,37.4%
473,Pawtucket,RI,71172,-2.5%
474,Boynton Beach,FL,71097,17.3%
475,Waukesha,WI,71016,8.0%
476,Gulfport,MS,71012,-0.6%
477,Apple Valley,CA,70924,29.9%
478,Passaic,NJ,70868,4.3%
479,Rapid City,SD,70812,17.9%
480,Layton,UT,70790,20.2%
481,Lafayette,IN,70373,14.5%
482,Turlock,CA,70365,23.5%
483,Muncie,IN,70316,-0.7%
484,Temple,TX,70190,27.1%
485,Missouri City,TX,70185,31.1%
486,Redlands,CA,69999,9.4%
487,Santa Fe,NM,69976,10.5%
488,Lauderhill,FL,69813,4.2%
489,Milpitas,CA,69783,11.0%
490,Palatine,IL,69350,4.5%
491,Missoula,MT,69122,19.7%
492,Rock Hill,SC,69103,36.0%
493,Jacksonville,NC,69079,5.0%
494,Franklin,TN,68886,48.5%
495,Flagstaff,AZ,68667,29.3%
496,Flower Mound,TX,68609,32.5%
497,Weston,FL,68388,34.5%
498,Waterloo,IA,68366,-0.5%
499,Union City,NJ,68247,1.7%
500,Mount Vernon,NY,68224,-0.2%
501,Fort Myers,FL,68190,31.2%
502,Dothan,AL,68001,16.6%
503,Rancho Cordova,CA,67911,26.4%
504,Redondo Beach,CA,67815,6.7%
505,Jackson,TN,67685,12.9%
506,Pasco,WA,67599,98.5%
507,St. Charles,MO,67569,11.3%
508,Eau Claire,WI,67545,8.7%
509,North Richland Hills,TX,67317,20.2%
510,Bismarck,ND,67034,20.1%
511,Yorba Linda,CA,67032,13.4%
512,Kenner,LA,66975,-4.8%
513,Walnut Creek,CA,66900,3.5%
514,Frederick,MD,66893,25.9%
515,Oshkosh,WI,66778,5.3%
516,Pittsburg,CA,66695,16.6%
517,Palo Alto,CA,66642,13.7%
518,Bossier City,LA,66333,17.4%
519,Portland,ME,66318,3.2%
520,St. Cloud,MN,66297,10.9%
521,Davis,CA,66205,11.9%
522,South San Francisco,CA,66174,9.1%
523,Camarillo,CA,66086,14.9%
524,North Little Rock,AR,66075,9.0%
525,Schenectady,NY,65902,6.7%
526,Gaithersburg,MD,65690,24.2%
527,Harlingen,TX,65665,11.6%
528,Woodbury,MN,65656,39.8%
529,Eagan,MN,65453,2.6%
530,Yuba City,CA,65416,27.9%
531,Maple Grove,MN,65415,27.3%
532,Youngstown,OH,65184,-20.2%
533,Skokie,IL,65176,2.8%
534,Kissimmee,FL,65173,32.6%
535,Johnson City,TN,65123,16.2%
536,Victoria,TX,65098,7.5%
537,San Clemente,CA,65040,28.6%
538,Bayonne,NJ,65028,5.1%
539,Laguna Niguel,CA,64652,2.8%
540,East Orange,NJ,64544,-7.4%
541,Shawnee,KS,64323,32.2%
542,Homestead,FL,64079,100.7%
544,Rockville,MD,64072,34.0%
543,Delray Beach,FL,64072,6.1%
545,Janesville,WI,63820,5.6%
546,Conway,AR,63816,46.1%
547,Pico Rivera,CA,63771,0.4%
548,Lorain,OH,63710,-7.2%
549,Montebello,CA,63495,2.0%
550,Lodi,CA,63338,10.1%
551,New Braunfels,TX,63279,64.0%
552,Marysville,WA,63269,115.7%
553,Tamarac,FL,63155,12.9%
554,Madera,CA,63105,44.4%
555,Conroe,TX,63032,61.9%
556,Santa Cruz,CA,62864,12.5%
557,Eden Prairie,MN,62603,13.3%
558,Cheyenne,WY,62448,16.9%
559,Daytona Beach,FL,62316,-2.3%
